Контрагент,БИН,State,City,ЦБ,lat,lon
"ГУ ""Отдел образования города Аксу"" управления образования Павлодарской области",060240011479,Павлодарская область,Аксу г.,ЦБ Аксу,52.033403,76.922621
"КГУ ""Средняя школа № 8 города Аксу"" отдела образования города Аксу, управления образования Павлодарской области",980940002665,Павлодарская область,Аксу г.,-,52.043613,76.937497
"КГКП ""Специальный детский сад ""Асыл бґбек"" отдела образования города Аксу, управления образования Павлодарской области",990340006063,Павлодарская область,Аксу г.,-,52.041419,76.934622
"КГКП ""Ясли- сад №2 города Аксу"" отдела образования города Аксу, управления образования Павлодарской области",990340002942,Павлодарская область,Аксу г.,-,52.040034,76.931424
"КГУ ""Средняя школа имени Ю.Гагарина"" отдела образования города Аксу, управления образования Павлодарской области",940940000700,Павлодарская область,Аксу г.,-,52.004167,76.682429
"КГКП ""Ясли- сад ""Айналайын"" отдела образования города Аксу,управления образования Павлодарской области",160740009515,Павлодарская область,Аксу г.,-,52.049124,76.925037
"КГКП ""Ясли-сад №19 города Аксу"" отдела образования города Аксу, управления образования Павлодарской области",990340006073,Павлодарская область,Аксу г.,-,52.041065,76.931011
"КГУ ""Казахская средняя школа имени Ыбырая Алтынсарина города Аксу"" отдела образования города Аксу, управления образования Павлодарской области",980940002655,Павлодарская область,Аксу г.,-,52.041419,76.934622
"КГКП ""Ясли- сад №24 города Аксу"" отдела образования города Аксу, управления образования Павлодарской области",990340006083,Павлодарская область,Аксу г.,-,52.029447,76.933464
"КГКП ""Балапан"" сјбилер баќшасы"" отдела образования города Аксу, управления образования Павлодарской области",111140019217,Павлодарская область,Аксу г.,-,52.028150,76.933509
"ГУ ""Отдел образования Актогайского района"" управления образования Павлодарской области",050340008272,Павлодарская область,Актогайский район,ЦБ Актогай,53.013577,75.980782
"Коммунальное государственное учреждение ""Агрономийская средняя общеобразовательная школа"" отдела образования Актогайского района, управления образования Павлодарской области",980940002219,Павлодарская область,Актогайский район,ЦБ Актогай,52.809307,75.137561
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа имени К.Идрисова"" отдела образования Актогайского района, управления образования Павлодарской области",980940002147,Павлодарская область,Актогайский район,ЦБ Актогай,52.661342,76.517885
"Коммунальное государственное учреждение ""Караобинская средняя общеобразовательная школа"" отдела образования Актогайского района, управления образования Павлодарской области",980940002586,Павлодарская область,Актогайский район,ЦБ Актогай,52.685516,76.490873
"Коммунальное государственное учреждение ""Балтасапская основная школа"" отдела образования Актогайского района, управления образования Павлодарской области",140240029092,Павлодарская область,Актогайский район,ЦБ Актогай,52.716621,74.283811
"Коммунальное государственное учреждение ""Жалаулинская средняя общеобразовательная школа имени Ныгымана Алшинова"" отдела образования Актогайского района, управления образования Павлодарской области",990240005091,Павлодарская область,Актогайский район,ЦБ Актогай,52.765258,74.596874
"Коммунальное государственное учреждение ""Шолаксорская средняя общеобразовательная школа"" отдела образования Актогайского района, управления образования Павлодарской области",980940002135,Павлодарская область,Актогайский район,ЦБ Актогай,52.707875,73.722049
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа имени Абая"" отдела образования Актогайского района, управления образования Павлодарской области",980940002090,Павлодарская область,Актогайский район,ЦБ Актогай,53.011263,75.961639
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа имени Махмета Кайырбаева""отдела образования Актогайского района, управления образования Павлодарской области",980940002080,Павлодарская область,Актогайский район,ЦБ Актогай,53.009188,75.985049
"Коммунальное государственное учреждение ""Основная школа имени Х.Шаяхметова"" отдела образования Актогайского района, управления образования Павлодарской области",990340006221,Павлодарская область,Актогайский район,ЦБ Актогай,52.509425,75.018821
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа имени Муткенова"" отдела образования Актогайского района, управления образования Павлодарской области",980940002160,Павлодарская область,Актогайский район,ЦБ Актогай,52.900937,76.236093
"Коммунальное государственное учреждение ""Приреченская средняя общеобразовательная школа"" отдела образования Актогайского района, управления образования Павлодарской области",980940001865,Павлодарская область,Актогайский район,ЦБ Актогай,53.018442,75.926946
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа имени Тленшина"" отдела образования Актогайского района, управления образования Павлодарской области",980940002111,Павлодарская область,Актогайский район,ЦБ Актогай,53.032036,75.864801
"Коммунальное государственное учреждение ""Харьковская средняя общеобразовательная школа"" отдела образования Актогайского района, управления образования Павлодарской области",980940002123,Павлодарская область,Актогайский район,ЦБ Актогай,52.798043,75.965313
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа имени Естая"" отдела образования Актогайского района, управления образования Павлодарской области",980940001875,Павлодарская область,Актогайский район,ЦБ Актогай,52.793730,74.898268
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа имени Ныгманова"" отдела образования Актогайского района, управления образования Павлодарской области",980940002159,Павлодарская область,Актогайский район,ЦБ Актогай,52.842483,76.343297
"Коммунальное государственное учреждение ""Шиликтинская основная школа"" отдела образования Актогайского района, управления образования Павлодарской области",140240029191,Павлодарская область,Актогайский район,ЦБ Актогай,52.750407,74.864149
"Коммунальное государственное учреждение ""Жанатапская начальная школа"" отдела образования Актогайского района, управления образования Павлодарской области",140340016361,Павлодарская область,Актогайский район,ЦБ Актогай,52.802230,76.385249
"Коммунальное государственное учреждение ""Ленинская основная школа"" отдела образования Актогайского района, управления образования Павлодарской области",140340016827,Павлодарская область,Актогайский район,ЦБ Актогай,52.947202,76.131205
"Коммунальное государственное учреждение ""Жамбылская основная школа"" отдела образования Актогайского района, управления образования Павлодарской области",140340016887,Павлодарская область,Актогайский район,ЦБ Актогай,53.074872,75.778302
"Коммунальное государственное учреждение ""Отесская начальная школа"" отдела образования Актогайского района, управления образования Павлодарской области",140340017337,Павлодарская область,Актогайский район,ЦБ Актогай,52.626666,76.545832
"Коммунальное государственное учреждение ""Жалаулинская начальная школа"" отдела образования Актогайского района, управления образования Павлодарской области",140240029002,Павлодарская область,Актогайский район,ЦБ Актогай,52.756081,74.355568
"Коммунальное государственное учреждение ""Шидертинская основная школа"" отдела образования Актогайского района, управления образования Павлодарской области",980940001885,Павлодарская область,Актогайский район,ЦБ Актогай,52.509216,75.296634
"Коммунальное государственное учреждение ""Енбекшинская основная школа"" отдела образования Актогайского района, управления образования Павлодарской области",980940002209,Павлодарская область,Актогайский район,ЦБ Актогай,52.916426,75.067564
"КГКП ""Ясли сад ""Аќ бота"" отдела образования Актогайского района, управления образования Павлодарской области",091240002011,Павлодарская область,Актогайский район,-,53.009004,75.979758
КГКП «Актогайская детская школа искусств» отдела образования Актогайского района, управления образования Павлодарская области,050540000998,Павлодарская область,Актогайский район,-,53.012065,75.979839
"ГУ ""Отдел образования Баянаульского района"" управления образования Павлодарской области",990540001208,Павлодарская область,Баянаульский район,ЦБ Баянаул,50.791652,75.696088
"Коммунальное государственное учреждение ""Лекерская основная общеобразовательная школа "" отдела образования Баянаульского района, управления образования Павлодарской области",980840000506,Павлодарская область,Баянаульский район,ЦБ Баянаул,50.704813,76.047231
"Коммунальное Государственное учреждение ""Акшийская основная общеобразовательная школа"" отдела образования Баянаульского района, управления образования Павлодарской области",040640001630,Павлодарская область,Баянаульский район,ЦБ Баянаул,50.722134,74.190197
"Коммунальное государственное учреждение ""Каражарская основная общеобразовательная школа"" отдела образования Баянаульского района, управления образования Павлодарской области",080140001184,Павлодарская область,Баянаульский район,ЦБ Баянаул,50.721638,75.538632
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа им. Алкея Маргулана"" отдела образования Баянаульского района, управления образования Павлодарской области",980840002097,Павлодарская область,Баянаульский район,ЦБ Баянаул,50.726896,75.091944
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа имени Дюсенбая Рахметова"" отдел образования Баянаульского района, управления образования Павлодарской области",980840000487,Павлодарская область,Баянаульский район,ЦБ Баянаул,50.711139,75.666588
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа им. Е.Бекмаханова"" отдела образования Баянаульского района, управления образования Павлодарской области",980740000601,Павлодарская область,Баянаульский район,ЦБ Баянаул,50.805908,74.265818
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа им. Ж.Аймаутова"" отдела образования Баянаульского района, управления образования Павлодарской области",980840000546,Павлодарская область,Баянаульский район,ЦБ Баянаул,50.552138,76.268854
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа имени Жылбека Агадилова"" отдел образования Баянаульского района, управления образования Павлодарской области",980840000645,Павлодарская область,Баянаульский район,ЦБ Баянаул,51.142839,75.736027
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа имени К.Кеменгерова"" отдела образования Баянаульского района, управления образования Павлодарской области",980840000516,Павлодарская область,Баянаульский район,ЦБ Баянаул,50.405567,75.745747
"Коммунальное государственное учереждение ""Средняя обшеобразовательная школа им. Машхур Жусуп Копеева"" отдела образования Баянаульского района, управления образования Павлодарской области",980740000562,Павлодарская область,Баянаульский район,ЦБ Баянаул,51.003386,74.997765
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа им.Бахыта Хайдарова"" отдела образования Баянаульского района, управления образования Павлодарской области",980840000556,Павлодарская область,Баянаульский район,ЦБ Баянаул,50.494883,75.206641
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа имени C.Торайгырова"" отдела образования Баянаульского района, управления образования Павлодарской области",980940000503,Павлодарская область,Баянаульский район,ЦБ Баянаул,50.865705,75.632317
"Коммунальное государственное учреждение ""Ушкулунская основная общеобразовательная школа"" отдела образования Баянаульского района, управления образования Павлодарской области",980840000566,Павлодарская область,Баянаульский район,ЦБ Баянаул,51.449232,75.701613
"Коммунальное государственное учреждение ""Шоптыкольская средняя общеобразовательная школа"" отдела образования Баянаульского района, управления образования Павлодарской области",980940000515,Павлодарская область,Баянаульский район,ЦБ Баянаул,51.461601,75.794014
"Комунальное государственное учереждение ""Учебно-воспитательный комплекс школа-детский сад им. Академика Каныша Сатпаева"" отдела образования Баянаульского района, управления образования Павлодарской области",980640000455,Павлодарская область,Баянаульский район,ЦБ Баянаул,50.634240,74.775746
"Коммунальное государственное учреждение ""Жайминская средняя общеобразовательная школа"" отдел образования Баянаульского района, управления образования Павлодарской области",980940000527,Павлодарская область,Баянаульский район,ЦБ Баянаул,50.161193,75.196104
"Коммунальное государственное учреждение ""Служонская средняя общеобразовательная школа"" отдел образования Баянаульского района, управления образования Павлодарской области",000940000626,Павлодарская область,Баянаульский район,ЦБ Баянаул,51.326849,75.540832
