Контрагент,БИН,State,City,ЦБ,lat,lon
"ГУ ""Отдел образования города Аксу"" управления образования Павлодарской области",060240011479,Павлодарская область,Аксу г.,ЦБ Аксу,52.033403,76.922621
"КГКП ""Ясли-сад ""Балапан"" отдела образования Железинского района, управления образования Павлодарской области",110140009019,Павлодарская область,Железинский район,-,53.539168,75.298359
"КГКП ""Детская школа искусств"" отдела образования Железинского района, управления образования Павлодарской области",990340006023,Павлодарская область,Железинский район,-,53.535738,75.315212
ГУ «Отдел образования Иртышского района» управления образования Павлодарской области,060140008554,Павлодарская область,Иртышский район,ЦБ Иртышский,53.332118,75.454244
"Коммунальное государственное учреждение ""Кызылкакская средняя общеобразовательная школа"" отдела образования Иртышского района, управления образования Павлодарской области",981040001647,Павлодарская область,Иртышский район,ЦБ Иртышский,53.326675,73.770019
"Коммунальное государственное учреждение ""Тохтинская основная общеобразовательная школа"" отдела образования Иртышского района, управления образования Павлодарской области",981040001657,Павлодарская область,Иртышский район,ЦБ Иртышский,53.110492,74.445867
"Коммунальное государственное учреждение ""Амангельдинская средняя общеобразовательная школа"" отдела образования Иртышского района, управления образования Павлодарской области",981040001667,Павлодарская область,Иртышский район,ЦБ Иртышский,53.556438,73.848101
"Коммунальное государственное учреждение ""Берлыкская основная общеобразовательная школа"" отдела образования Иртышского района, управления образования Павлодарской области",140240007021,Павлодарская область,Иртышский район,ЦБ Иртышский,52.881682,73.641408
"Коммунальное государственное учреждение ""Буланбайская основная общеобразовательная школа"" отдела образования Иртышского района, управления образования Павлодарской области",140240006457,Павлодарская область,Иртышский район,ЦБ Иртышский,52.989960,74.112448
"Коммунальное государственное учреждение ""Караагашская средняя общеобразовательная школа"" отдела образования Иртышского района, управления образования Павлодарской области",031140003164,Павлодарская область,Иртышский район,ЦБ Иртышский,53.793518,74.956999
"Коммунальное государственное учреждение ""Ленинская средняя общеобразовательная школа"" отдела образования Иртышского района, управления образования Павлодарской области",981040001568,Павлодарская область,Иртышский район,ЦБ Иртышский,53.549778,74.071027
"Коммунальное государственное учреждение ""Луговская основная общеобразовательная школа"" отдела образования Иртышского района, управления образования Павлодарской област",981040001479,Павлодарская область,Иртышский район,ЦБ Иртышский,53.474943,75.302824
"Коммунальное государственное учреждение ""Селетинская средняя общеобразовательная школа"" отдела образования Иртышского района, управления образования Павлодарской области",981140001531,Павлодарская область,Иртышский район,ЦБ Иртышский,52.967198,73.897634
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа имени Исы Байзакова"" отдела образования Иртышского района, управления образования Павлодарской области",031140002969,Павлодарская область,Иртышский район,ЦБ Иртышский,53.659605,75.010386
КГУ «Иртышская средняя общеобразовательная школа №2» отдела образования Иртышского района, управления образования Павлодарской области,981040001489,Павлодарская область,Иртышский район,-,53.338613,75.458699
КГУ «Коскольская средняя общеобразовательная школа» отдела образования Иртышского района, управления образования Павлодарской области,981040001627,Павлодарская область,Иртышский район,-,53.158433,73.986756
КГУ «Майконырская средняя общеобразовательная школа» отдела образования Иртышского района, управления образования Павлодарской области,981040001637,Павлодарская область,Иртышский район,-,53.588749,74.529877
КГУ «Кызылжарская средняя общеобразовательная школа» отдела образования Иртышского района, управления образования Павлодарской области,981040001469,Павлодарская область,Иртышский район,-,53.386798,75.420288
"КГУ «Максима Горьковская средняя общеобразовательная школа"" отдела образования Иртышского района,управления образования Павлодарской области",981040001449,Павлодарская область,Иртышский район,-,53.545530,75.151224
КГУ «Агашорынская средняя общеобразовательная школа» отдела образования Иртышского района, управления образования Павлодарской области,981040001508,Павлодарская область,Иртышский район,-,53.453103,74.239021
КГУ «Узынсуская средняя общеобразовательная школа» отдела образования Иртышского района, управления образования Павлодарской области,981040001598,Павлодарская область,Иртышский район,-,53.304227,74.685564
КГУ «Иртышская средняя общеобразовательная школа №1» отдела образования Иртышского района, управления образования Павлодарской области,981040001499,Павлодарская область,Иртышский район,-,53.342414,75.448584
КГУ «Иртышская средняя общеобразовательная школа №4» отдела образования Иртышского района, управления образования Павлодарской области,981040001459,Павлодарская область,Иртышский район,-,53.316472,75.457550
КГУ «Иртышская средняя общеобрзовательная школа №3» отдела образования Иртышского района, управления образования Павлодарской области,981040001548,Павлодарская область,Иртышский район,-,53.328117,75.456121
КГУ «Средняя общеобразовательная школа имени Шокана Уалиханова» отдела образования Иртышского района, управления образования Павлодарской области,981040001895,Павлодарская область,Иртышский район,-,53.746154,74.965974
КГУ «Каракудукская средняя общеобразовательная школа» отдела образования Иртышского района, управления образования Павлодарской области,981040001538,Павлодарская область,Иртышский район,-,53.210215,75.436026
КГУ «Абайская средняя общеобразовательная школа» отдела образования Иртышского района, управления образования Павлодарской области,981040001558,Павлодарская область,Иртышский район,-,53.123539,74.193656
КГУ «Косагашская средняя общеобразовательная школа» отдела образования Иртышского района, управления образования Павлодарской области,981040001528,Павлодарская область,Иртышский район,-,53.112390,74.869611
КГУ «Панфиловская средняя общеобразовательная школа» отдела образования Иртышского района, управления образования Павлодарской области,981040001677,Павлодарская область,Иртышский район,-,53.244079,74.902238
КГУ «Центр детского творчества и досуга» отдела образования Иртышского района, управления образования Павлодарской области,190240014965,Павлодарская область,Иртышский район,-,53.329036,75.451495
"КГКП ""Ясли - сад села Иртышск"" отдела образования Иртышского района, управления образования Павлодарской области",090840008981,Павлодарская область,Иртышский район,-,53.331419,75.447920
"КГКП ""Ясли-сад ""Жулдыз"" отдела образования Иртышского района управления образования Павлодарской области",031140003352,Павлодарская область,Иртышский район,-,53.383242,75.422686
"КГКП ""Иртышская детская школа искусств"" отдела образования Иртышского района , управления образования Павлодарской области",090140011202,Павлодарская область,Иртышский район,-,53.331628,75.459301
"ГУ ""Отдел образования Майского района"" управления образования Павлодарской области",060140009959,Павлодарская область,Майский район,ЦБ Майский,51.528901,77.469003
"Коммунальное государственное учреждение ""Акжарская средняя общеобразовательная школа"" отдела образования Майского района, управления образования Павлодарской области",990340007110,Павлодарская область,Майский район,ЦБ Майский,50.798456,78.466762
"Коммунальное государственное учреждение ""Акшиманская основная средняя школа"" отдела образования Майского района, управления образования Павлодарской области",990240005448,Павлодарская область,Майский район,ЦБ Майский,50.792819,76.739347
"Коммунальное государственное учреждение ""Жалтырская средняя общеобразовательная школа"" отдела образования Майского района, управления образования Павлодарской области",970140003236,Павлодарская область,Майский район,ЦБ Майский,51.510961,77.485236
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа-лицей имени Амангельды Иманова"" отдела образования Майского района, управления образования Павлодарской области",970140003028,Павлодарская область,Майский район,ЦБ Майский,51.734840,77.322605
"Коммунальное государственное учреждение ""Казанская средняя общеобразовательная школа"" отдела образования Майского района, управления образования Павлодарской области",990240005267,Павлодарская область,Майский район,ЦБ Майский,51.264340,77.864981
"Коммунальное государственное учреждение ""Каратерекская средняя общеобразовательная школа"" отдела образования Майского района, управления образования Павлодарской области",970140002951,Павлодарская область,Майский район,ЦБ Майский,51.080327,78.070336
"Коммунальное государственное учреждение ""Казахстанская основная средняя школа"" отдела образования Майского района, управления образования Павлодарской области",000440003167,Павлодарская область,Майский район,ЦБ Майский,51.219490,77.955450
"Коммунальное государственное учреждение ""Майская средняя общеобразовательная школа"" отдела образования Майского района, управления образования Павлодарской области",990340006251,Павлодарская область,Майский район,ЦБ Майский,50.930178,78.175007
"Коммунальное государственное учреждение ""Майтюбекская средняя общеобразовательная школа"" отдела образования Майского района, управления образования Павлодарской области",990240005339,Павлодарская область,Майский район,ЦБ Майский,51.124572,78.046189
"Коммунальное государственное учреждение ""Малайсаринская средняя общеобразовательная школа"" отдела образования Майского района, управления образования Павлодарской области",990240005279,Павлодарская область,Майский район,ЦБ Майский,51.432446,77.545073
"Коммунальное государственное учреждение ""Сатинская основная средняя школа"" отдела образования Майского района, управления образования Павлодарской области",970140002941,Павлодарская область,Майский район,ЦБ Майский,51.354548,77.661144
"КГУ ""Коктюбинская средняя общеобразовательная школа"" отдела образования Майского района, управления образования Павлодарской области",990240005359,Павлодарская область,Майский район,-,51.533938,77.470387
Коммунальное государственное казенное предприятие «Ясли – сад «Акбота» отдела образования Майского района, управления образования Павлодарской области,100740014917,Павлодарская область,Майский район,-,51.528901,77.469003
Коммунальное государственное казенное предприятие «Ясли – сад «Карлыгаш» отдела образования Майского района, управления образования Павлодарской области,100640012590,Павлодарская область,Майский район,-,51.510743,77.490716
Коммунальное государственное казенное предприятие «Детская школа искусств им. Байгабыла Жылкыбаева» отдела образования Майского района, управления образования Павлодарской области,990340006093,Павлодарская область,Майский район,-,51.525712,77.471016
Коммунальное государственное казенное предприятие «Районный дом школьников» отдела образования Майского района, управления образования Павлодарской области,060240008924,Павлодарская область,Майский район,-,51.526396,77.475624
"КГУ ""Средняя общеобразовательная школа имени Ерсина Мукашева"" отдела образования Майского района, управления образования Павлодарской области",990240005349,Павлодарская область,Майский район,-,51.526648,77.472606
"ГУ ""Управление образования Павлодарской области""",980740001194,Павлодарская область,Павлодар г.,-,52.287324,76.938925
"ГУ ""Отдел образования города Павлодара"" управления образования Павлодарской области",041240005394,Павлодарская область,Павлодар г.,-,52.283274,76.940012
"КГУ ""Школа - лицей имени Јлихан Бґкейхан города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",021240004491,Павлодарская область,Павлодар г.,-,52.267978,76.981937
"Коммунальное государственное казенное предприятие ""Жас ўрпаќ"" управления образования Павлодарской области, акимата Павлодарской области",001140003575,Павлодарская область,Павлодар г.,-,52.278696,76.941234
Коммунальное государственное казенное предприятие «Ясли-сад № 23 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,100640008542,Павлодарская область,Павлодар г.,-,52.285577,76.940722
Коммунальное государственное казенное предприятие «Ясли-сад № 45 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,120440021645,Павлодарская область,Павлодар г.,-,52.295316,76.952813
"КГУ ""Областная специализированная школа-лицей-интернат ""Жас сарбаз"" имени Кабанбай батыра"" управления образования Павлодарской области",990740001909,Павлодарская область,Павлодар г.,-,52.266776,77.004817
"Коммунальное государственное казенное предприятие ""Ясли-сад №54 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",150540005880,Павлодарская область,Павлодар г.,-,52.295851,77.009344
Коммунальное государственное казенное предприятие «Дошкольная гимназия № 6 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,080540018936,Павлодарская область,Павлодар г.,-,52.269890,76.945384
"Коммунальное государственное казенное предприятие ""Ясли-сад № 79 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",990540002513,Павлодарская область,Павлодар г.,-,52.298252,76.923214
"Коммунальное государственное казенное предприятие ""Ясли-сад № 28 города Павлодара"" отдела образования города Павлодара,управления образования Павлодарской области",100640008433,Павлодарская область,Павлодар г.,-,52.291510,76.959892
"Коммунальное государственное казенное предприятие ""Ясли-сад № 4 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",080540018331,Павлодарская область,Павлодар г.,-,52.299331,76.921848
"Коммунальное государственное казенное предприятие ""Ясли-сад № 30 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",101040003611,Павлодарская область,Павлодар г.,-,52.282999,76.975163
Коммунальное государственное казенное предприятие «Специальный детский сад № 39 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,990540003076,Павлодарская область,Павлодар г.,-,52.301485,76.919189
КГУ «Средняя общеобразовательная школа имени Султанмахмута Торайгырова города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,961040001158,Павлодарская область,Павлодар г.,-,52.298588,76.934416
Коммунальное государственное казенное предприятие «Ясли-сад № 72 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,990540002563,Павлодарская область,Павлодар г.,-,52.289158,76.980383
Коммунальное государственное казенное предприятие «Ясли-сад № 57 города Павлодара – Центр полиязычного воспитания» отдела образования города Павлодара, управления образования Павлодарской области,170940013186,Павлодарская область,Павлодар г.,-,52.250013,76.971013
Коммунальное государственное казенное предприятие «Ясли-сад № 2 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,070540007314,Павлодарская область,Павлодар г.,-,52.240402,76.996175
"Коммунальное государственное казенное предприятие ""Ясли-сад №120 города Павлодара - Центр этнокультурного воспитания"" отдела образования города Павлодара, управления образования Павлодарской области",990540002246,Павлодарская область,Павлодар г.,-,52.269091,76.950352
"Коммунальное государственное казенное предприятие ""Санаторный ясли-сад №22 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",100640008403,Павлодарская область,Павлодар г.,-,52.301777,76.925307
Коммунальное государственное казенное предприятие «Ясли-сад № 104 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,990540002983,Павлодарская область,Павлодар г.,-,52.270976,76.971885
"Коммунальное государственное казенное предприятие ""Ясли-сад № 36 поселка Атамекен"" отдела образования города Павлодара, управления образования Павлодарской области",110640001844,Павлодарская область,Павлодар г.,-,52.259831,76.788862
"КГУ ""Средняя общеобразовательная школа № 46 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",221040020864,Павлодарская область,Павлодар г.,-,52.323909,77.132845
Коммунальное государственное казенное предприятие «Санаторный ясли-сад № 48 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,150140001368,Павлодарская область,Павлодар г.,-,52.300240,77.001888
"Коммунальное государственное казенное предприятие ""Ясли-сад № 19 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",990340006380,Павлодарская область,Павлодар г.,-,52.283748,76.950720
Коммунальное государственное казенное предприятие «Ясли-сад № 8 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,080840005499,Павлодарская область,Павлодар г.,-,52.300521,76.920303
"Коммунальное государственное казенное предприятие ""Ясли-сад № 53 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",990340006291,Павлодарская область,Павлодар г.,-,52.262505,76.972424
Коммунальное государственное казенное предприятие «Ясли-сад № 31 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,990540002236,Павлодарская область,Павлодар г.,-,52.293807,76.968480
Коммунальное государственное казенное предприятие «Ясли-сад № 17 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,090240002990,Павлодарская область,Павлодар г.,-,52.295344,76.949040
"Коммунальное государственное казенное предприятие ""Ясли-сад № 5 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",060840006474,Павлодарская область,Павлодар г.,-,52.248221,76.949391
КГУ «Средняя общеобразовательная школа № 35 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,961040001089,Павлодарская область,Павлодар г.,-,52.301424,76.922989
КГУ «Средняя общеобразовательная школа № 25 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,070540006980,Павлодарская область,Павлодар г.,-,52.249445,76.951214
КГУ «Средняя общеобразовательная школа № 11 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,961040001168,Павлодарская область,Павлодар г.,-,52.288139,76.944100
"Коммунальное государственное казенное предприятие ""Ясли-сад № 18 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",100640008394,Павлодарская область,Павлодар г.,-,52.299954,76.932062
"Коммунальное государственное казенное предприятие ""Ясли-сад № 20 села Кенжеколь"" отдела образования города Павлодара, управления образования Павлодарской области",080540018847,Павлодарская область,Павлодар г.,-,52.182404,77.025891
КГУ «Средняя общеобразовательная школа № 5 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,980640001903,Павлодарская область,Павлодар г.,-,52.290794,76.971453
Коммунальное государственное казенное предприятие «Ясли-сад № 40 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,120440023999,Павлодарская область,Павлодар г.,-,52.291797,76.945600
"Коммунальное государственное казенное предприятие ""Ясли-сад № 16 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",990540002761,Павлодарская область,Павлодар г.,-,52.242657,76.991657
"Коммунальное государственное казенное предприятие ""Ясли-сад № 27 города Павлодар - Центр развития"" отдела образования города Павлодара, управления образования Павлодарской области",100640008413,Павлодарская область,Павлодар г.,-,52.288420,76.954269
"Коммунальное государственное казенное предприятие ""Ясли-сад №116 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",990340006476,Павлодарская область,Павлодар г.,-,52.240402,76.995331
"Коммунальное государственное казенное предприятие ""Ясли-сад № 37 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",111040003633,Павлодарская область,Павлодар г.,-,52.297431,76.970402
"Коммунальное государственное казенное предприятие ""Специальный ясли-сад № 49 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",141240024193,Павлодарская область,Павлодар г.,-,52.293036,76.996660
"Коммунальное государственное казенное предприятие ""Ясли-сад № 32 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",110640003474,Павлодарская область,Павлодар г.,-,52.295107,76.970456
"Коммунальное государственное казенное предприятие ""Ясли-сад № 102 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",990540002454,Павлодарская область,Павлодар г.,-,52.266291,76.945744
КГУ «Средняя общеобразовательная школа № 45 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,040940004913,Павлодарская область,Павлодар г.,-,54.047607,77.809429
"КГУ ""Специальная школа - интернат№7"" управления образования Павлодарской области, акимата Павлодарской области",630940000052,Павлодарская область,Павлодар г.,-,52.291571,77.001556
Коммунальное государственное казенное предприятие «Ясли-сад № 21 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,100640008423,Павлодарская область,Павлодар г.,-,52.298279,76.937030
"Коммунальное государственное казенное предприятие ""Ясли-сад № 84 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",990540002474,Павлодарская область,Павлодар г.,-,52.293840,77.008913
"Коммунальное государственное казенное предприятие ""Ясли-сад № 44 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",120540010633,Павлодарская область,Павлодар г.,-,52.251104,76.944459
"Коммунальное государственное казенное предприятие ""Ясли-сад № 11 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",990340006688,Павлодарская область,Павлодар г.,-,52.265117,76.945528
"Коммунальное государственное казенное предприятие ""Ясли-сад № 12 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",990540002593,Павлодарская область,Павлодар г.,-,52.269295,76.963261
"Коммунальное государственное казенное предприятие ""Специальный детский сад № 52 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",150140001378,Павлодарская область,Павлодар г.,-,52.293047,76.949274
"КГУ ""Региональный центр поддержки детей, нуждающихся в специальных социальных услугах"" управления образования Павлодарской области",110340007614,Павлодарская область,Павлодар г.,-,52.268297,76.975217
Коммунальное государственное казенное предприятие «Ясли-сад № 33 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,110440004475,Павлодарская область,Павлодар г.,-,52.299436,76.931362
КГУ «Средняя общеобразовательная школа имени Камала Макпалеева города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,980640001983,Павлодарская область,Павлодар г.,-,52.262394,76.978487
"Коммунальное государственное казенное предприятие ""Ясли-сад № 51 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",990340006330,Павлодарская область,Павлодар г.,-,52.294793,76.941728
"КГУ ""Основная общеобразовательная школа №32 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",980640001597,Павлодарская область,Павлодар г.,-,52.248055,76.795770
"КГУ ""Средняя общеобразовательная школа №33 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",961040001019,Павлодарская область,Павлодар г.,-,52.253988,76.778792
"Коммунальное государственное казенное предприятие ""Ясли-сад №10 города Павлодара- образовательно-развивающий центр ""ZamanStar"" отдела образования города Павлодара, управления образования Павлодарской области",070540003440,Павлодарская область,Павлодар г.,-,52.252483,76.949912
КГУ «Средняя общеобразовательная школа № 21 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,970440002348,Павлодарская область,Павлодар г.,-,52.244526,76.992546
"Государственное учреждение ""Комплекс ""Музыкальный колледж - музыкальная школа-интернат для одаренных детей""",041140004570,Павлодарская область,Павлодар г.,-,52.296027,76.945672
"КГУ ""Средняя общеобразовательная школа №44 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",040940004884,Павлодарская область,Павлодар г.,-,52.316748,76.922962
"КГКП ""Ясли-сад № 41 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",120540000715,Павлодарская область,Павлодар г.,-,52.266203,76.979152
Коммунальное государственное казенное предприятие «Дошкольная гимназия № 42 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области,990340009513,Павлодарская область,Павлодар г.,-,52.266473,76.951286
"КГУ ""Средняя общеобразовательная школа №18 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",980640002051,Павлодарская область,Павлодар г.,-,52.296500,77.008949
